 January 2023,5,Lovely Riad in a great location,"This was a lovely Riad in a great spot. Although we had a medical emergency the staff were able to assist us in dealing with it. The facilities were great, but don't expect a five star European style hotel. It is totally Moroccan. The terrace breakfasts are not to be missed.",hotelName,city
 June 2022,5,Charming,"Dar El Kebira provided my family (a party of 7 in 4 rooms) a lovely experience. The staff was exceptionally professional and helpful, breakfast on the rooftop was delicious, and the rooms were cozy, clean, and charming. The location was ideal - in a very quiet, narrow street but just steps away from the Medina. We did not want to leave this beautiful place.",Dar_El_Kebira,Rabat
 December 2022,5,Morocco trip,"Very nice Riad, nicely decorated and comfortable. Warm and welcoming staff. Breakfast was very nice. Very nice views from the terrace, beautifully decorated courtyard. Located across from the Kasbah. We recommend this riad.",Dar_El_Kebira,Rabat
 January 2023,5,Great Service at Sofitel Rabat,"I am writing to thank you for a great stay at Sofitel Rabat. I also write to commend Najat in the housekeeping department for the kindness, care, warmth, and attention that she gave to us. We have three small children, and Najat provided so much help to us during our stay.",Dar_El_Kebira,Rabat
 November 2022,5,"The Best Riad, service/people and perfect location 10/10 !!","We stayed here at the end of Nov for a few nights, honestly the riad was beautiful from the moment you walk in, absolutely stunning not only was it incredible architecture it was spotless clean ! Even better than pictures. the atmosphere and vibe was 10/10. Location was spot on you are in the heart of old Medina with souks and markets surrounding you with the Kasbah and sea 5mins walk. The staff were honestly the most welcoming ever esp Younas, Ahmed, Hamid and Soufayanne you made are stay even better, hospitality at it's finest 👌. breakfast was a treat a lovely spread of all the local cuisine loved it! Shower/water was boiling hot perfect for evening soak. I cannot wait to come back in sha Allah with the rest of the family 😍 SUMARA & Waseem",Dar_El_Kebira,Rabat
 November 2022,4,Step back in time staying in the heart of the Medina,Our first three nights in Morocco and we were immediately immersed in Moroccan hospitality! The Dar aka the hotel was built in the 15th c. and has been upgraded about two decades ago. The rooms are quirky but well decorated. The rooftop lounge is amazing and breakfast is served there. You can see all of the old city from the rooftop and hear the calls to prayer from the minarets. We met interesting travelers from Canada also staying there. Shout out to Hamid who wears many shoes working at the Dar and his smile never leaves his face- he is amazing!,Dar_El_Kebira,Rabat
 October 2022,5,Nice introduction to Morocco,"Following our flight from the US to Casablanca arriving early in the morning, we had an opportunity to visit the Hassan II Mosque. Don't miss it If possible! It is an unbelievable From there we went on to Rabat to begin our tour of Morocco beginning with a stay in this wonderful Dar (lacks a fountain and garden but otherwise is similar to a Riad except it is smaller). Our room was on the first floor overlooking the courtyard. It was clean and had a bathroom with a bathtub and shower (getting out of the bathtub was an adventure since it abruptly sloped in the middle). The room was very clean and had a very comfortable, firm king bed. We had our evening meal on the terrace overlooking the courtyard below. The terrace had a nice view of the surrounding area of the medina.…",Dar_El_Kebira,Rabat
 October 2022,5,Beautiful and comfortable gem in Rabat,"This classic Moroccan ""Dar"" is a beautiful gem in Rabat Medina. We stayed one most comfortable night and we are very sorry that our plan does not allow more. The decor is eclectic and the atmosphere is second to none. We recommend this hotel for its beauty, its comfort and for the kind hospitality we received.",Dar_El_Kebira,Rabat
 September 2022,5,Beautiful and true Moroccan,"A dar is a house, in this case accepting visitors. A riad is a home with a central garden. This is our preference, with ultimate Moroccan flavor and ambience. To access (in the medina) we travelled in a maze of narrow alleys, trusting our guide, and were blown away when the barely perceptible door was opened. Beautiful staff, gardens, and food, with Moroccan welcome tea. Part of the experience is talking with the other international guests. (Some French is helpful for the locals).",Dar_El_Kebira,Rabat
 July 2022,5,Riad in Rabat,This Riad is very nice and Soufiane his an awesome host. I recommend this experience. This place was very well located in the Medina and has a very traditionnal feel. It is not your typical western hotel and is worth seeing.,Dar_El_Kebira,Rabat
 August 2022,5,Review,We truly enjoyed our stay at Riad Dar El Kebira. The Riad is in beautiful condition and the staff was very helpful and kind. Our bags did not arrive in time and they tried to help us locate them multiple times. The rooms were very comfortable as well. The breakfast was good although the dinner was a bit expensive. Overall we very much enjoyed our stay and highly recommend It.,Dar_El_Kebira,Rabat
 July 2022,5,Peaceful Riad…,"Truly Amazing Riad, very comfortable, peaceful and tranquil. The team are really helpful and always go over and above! Very pleasant stay, highly recommended a visit on your tour of Morocco 🇲🇦 Enjoy 😉",Dar_El_Kebira,Rabat
 June 2022,5,Great care shown by staff,We arrived very hot and frazzled to this lovely Riad. We were greeted with mint tea in a cool and tranquil courtyard. Our room was very comfortable and we were upgraded to an even larger room (both with aircon). We were very well looked after and enjoyed the breakfast on the rooftop and the sound of the call to prayer. We also enjoyed dinner in the Riad one night - try the harira. Great location too. The Riad kindly arranged a driver and an official guide of Rabat. I would happily stay here again and would highly recommend it. Our particular thanks to Hamid who took such good care of us.,Dar_El_Kebira,Rabat
 May 2022,5,Great riad,Great experience beautiful riad. Staff was very helpful. Located in a quiet part of the Medina close to the seaside. Breakfast was good. Room was beautifully decorated. Dinner is available but we prefered to eat out,Dar_El_Kebira,Rabat
 April 2022,5,The best riad in Rabat,"I loved everything about it, the rooms are beautiful and clean, the staff is very welcoming, kind and respectful, the rooftop has an amazing view on rabat which gives you a glimpse on the beautiful city.",Dar_El_Kebira,Rabat
 December 2021,5,Journée artistique,"an authentic and comfortable Moroccan riad. well located in the heart of the medina, The staff was very helpful we spent a beautiful artistic day at riad dar El Kebira. everything was perfect the welcome, the service. I highly recommend ❤❤❤",Dar_El_Kebira,Rabat
