 January 2023,5,"Not to be missed, great location and service.","The welcome from ALL staff has been fantastic. Good breakfast and superb restaurant on site,very informative and attentive. The room is clean and comfortable, cleaned daily to a high standard. We can throughly recommend the spa, just ask for Rafika, trust me she will make you feel like you are reborn. 😁. The concierge is kind, helpful and will go out of his way to help and advise. All staff appear to have an understanding of 3 languages. Not a bad word to say on this review and I have given some mediocre ones. RECOMMENDED. 👍👍👍👍👍"
 December 2022,5,Good,"What an amazing hotel to stay in Staff well trained and so kind Breakfast was really delicious and varied, the room was spacious and comfortable I even got the best service I would ever ask for, and I really appreciate the good food and the other different favors such as the Moroccan Hammam and the spa I highly recommend it"
 September 2022,5,Modern hotel in central location,"I stayed here for 4 nights in September 2022 and enjoyed the stay. The room was spacious and comfortable, breakfast was a delightful buffet with American, European, and Moroccan foods, and the restaurant staff were friendly. The tram line is 1 block away, and you are walking distance to the art museum. Visiting Hassan Tower was about a 20 minute walk, and 20 minutes more brought you to the entrance to the Medina."
 September 2022,5,"Nass Zaman, Desk, Morocco","Nass Zaman is the embodiment of the perfect place to be in the ancient historic city of Fes, Morocco. Cleanliness is immaculate. The place combines the elegance of the past and the wealth of the presence in every possible way a visitor can think of. The owner, Latif, is always around and ready to make sure his guests are happy — really happy. He is always smiling and willing to educate his guests and answer every question guests may ask about what to see and where to go in the city. Latif is classy and he is willing to share his place history as well as personal family history. Just ask him and he will… When it comes to ratings, Nass Zaman is beyond compare. How can one measure the warmth and affection that one feels in Nass Zaman! The Nass Zaman team is a loving family for…"
 October 2022,1,Filthy! Stay away.,"My experience here was horrible. Stayed in room 404 on October 1, 2022. It was so filthy, as were the hallways. It was prepaid through a private tour and it was late at night after a very long day or we would have walked out when we saw the room. The carpets in our room and in the hallway were covered in nasty stains, the shower had loads of black mold on the walls and in the corners, the handle of the hairdryer was encased in dirt. My nightstand was a rickety dirty piece of glass. The room smelled so badly of mildew that we had to sleep with the balcony door open. The breakfast was not much better. They had food that was supposed to be hot (scrambled eggs, meats, etc.) sitting on hot plates that were not working. I asked for scrambled eggs and the lady pointed me to the cold…"
 September 2022,3,Has potential to be better,"We stayed here for 3 nights and our experience was mixed. BEDROOM Good : We had a suite that consisted of three rooms. It was spacious, clean and well stocked with amenities. Bad : There were no doors between the different areas and it would benefit from a door separating the bedroom from the rest. The bed was hard and lumpy so was very uncomfortable. The air conditioning did not work. There were large stains on the carpet. BREAKFAST Good : The quality of the breakfast was good. The waitresses were polite but only one was friendly. Bad : Apart from asking us about tea/coffee we were not asked if we needed anything else. There was no juice available and we had to ask for some every day - on two occasions it arrived after a long time but on the third it never arrived until…"
 July 2022,3,"Nice staff and food in restaurant is delicious, A/C and pillows need attention","Nice staff and food in restaurant is delicious, A/C (does not functional well) and pillows (musty) need attention. Location, less than 1 km from the railroad station and within walking distance to medina and waterfront."
 June 2022,5,Beautiful place to stay and breakfast was absolutely delicious ⭐️⭐️⭐️⭐️⭐️,"Lovely place to stay we we’ll definitely visit again sleeping quality was amazing very clean breakfast was absolutely delicious I can’t wait to visit again,we’ll definitely recommend to everyone to visit Hotel Le Diwan"
 June 2022,4,Great stay,"The hotel was centrally located with a great location. The rooms were very comfortable, the staff was friendly and helpful, the Wi-Fi worked well and it had an excellent breakfast buffet with wonderful omelettes."
 May 2022,4,"Great location, comfortable and very friendly","The staff are amazing, friendly and warm. We really felt special and looked after. The lobby is accommodating and plenty place to lounge. Bedroom is clean and neat but tired in some areas… room was missing some basics on arrival such as a kettle and coffee cups. All in all enjoyed the stay and would stay again."
 December 2021,5,Great location for our trip,Great Hotel to stay in for a few nights! The staff was wonderful … esp Salah. Salah helped us with directions numerous times and even walked out with us to point us in the right direction. We ate at the restaurant one night and the food was very good. The hotel is walking distance to the train station.
 November 2021,5,Great stay,was a great experience. would like to thank all stuff especially Mustapha who did a recognised effort to make our stay pleasant and fantastic. Restaurant also is wonderful and full of variety of international dishes. Overall I give 5 stars for Le Diwan hotel and recommend it for all.
 November 2021,5,Good,I liked everything about the property i have no complaints about anything The room was so comfortable even the breakfast it was deliciouuuus We had a wonderful moments my friends and I w e will return again that’s suuuuuuuure Without talking about the amazin view ofc
 September 2021,5,Group series,"This hotel is just Fantastic , i book there for my groups tour series , they are always very satisfied of the services , the hotel is excellent for individuals or small groups , the food is excellent , i love it the staff is very very professional . i really recommend"
 September 2021,5,a dreamy experience,"we had such a wonderfull experience me and my familly, the stuff and the service made our trip remarquable... rabat city is a great destination we enjoyed it and we are greatful for the hotel for making our experience unique and inforgetable"
 September 2021,5,Excellent experience,"We spent 2 nights in this legendary hotel,really enjoyed it.the service was attentive,particularly thanks to asme Salah moura a d all the rest of the team.anything we asked for arrived very quickly. Looking forward to my next stay. Thanks"
 September 2021,3,Very ordinary,"We spent one night in this property. The location is very good being easy walking distance to the casbah and variety of restaurants, that aside everything else in the hotel was on the border of average to poor . The check in and out was efficient but not very welcoming , the baggage and parking Porter was not only very efficient and helpful but was consistently friendly.The room (601) was reasonably spacious but very old fashioned and slightly depressing it was moderately clean but nothing outstanding facilities in the room were minimal but connectivity was adequate. Sleep quality was acceptable. The bathroom had been partially renovated but retained old ceramics which were definitely in need of cleaning toiletries were adequate but towels were of the use to be white variety…"
 September 2021,5,Good,Very helpfull and friendly staff. Rwceptionist was very helpfull. Was running late and by the time i arrived i had a very limited time to eat out. She took my id and said to go and eat and everything will be ready when i came back. No fuss very professional. Also offered me the option to exchange money also which was very convenient. Would highly reccomend for a helpfull service.
 September 2021,3,Good location? Breakfast buffet,"We stayed at this downtown hotel in her butt for two nights. While the rooms are adequate in size, with king-size beds and small balconies, the bathroom definitely needed to be deep cleaned. There was a lot of mold in the bathtub tile corners. We were a little surprised to find that there were no drinking glasses in the bathroom. Also, while breakfast was excellent as far as choices, service was spotty and slow. We had to ask several times for coffee. The air conditioner works fine in the rooms, but the common areas are not cool, mostly because doors are left open to let warm air in in many instances."
 May 2021,5,Incredible Spa Services and Great Hotel in Rabat,"I traveled to Rabat in May and stayed at Hotel LeDiwan for a week. My stay was so comfortable! Everything was absolutely perfect; the management and hotel staff made my stay exceptionally well. I traveled solo for business and everyone at the hotel was welcoming and made me feel taken care of. The hotel is centrally located to shopping, medina, museums, beach area, banks, coffee shops, covid-19 testing labs and more. I walked everywhere and only used the taxi if I needed to arrive somewhere quickly. I had a little down time in between meetings and was able to take advantage of the AMAZING, I mean SUPER AMAZING spa services. The ladies (Najia and Asilaa) truly have gifted hands with the massage and hamman services. If you have never tried a hamman spa treatment, Hotel…"
